name	address	prefecture	phone	flag1	flag2	flag3	flag4	flag5	flag6	flat7	flag8	frozen_egg	frozen_preg	frozen_birth	frozen_rate	frozen_rate2	clinic_url	longitude	latitude	reliability_range	reliability_range_per
KKR札幌医療センター	北海道札幌市豊平区平岸一条6丁目3-40	北海道	118221811	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	7	4	2	29	28.57142857	https://smc.kkr.or.jp/	141.366699	43.035812	0.33466401	33.466401
医療法人社団卵会　とまこまいレディースクリニック	北海道苫小牧市弥生町2-12-5	北海道	144735353	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	29	14	8	28	27.5862069	https://tomakomai-ladies.net/	141.57782	42.627502	0.16267234	16.267234
社会医療法人社団カレスサッポロ　時計台記念病院	北海道札幌市中央区北一条東1丁目2-3	北海道	112511221	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	6	1	1	17	16.66666667	https://www.tokeidaihosp.or.jp/	141.357193	43.063381	0.2982045	29.82045
エフ.クリニック	青森県青森市浜田3-3-7	青森県	177294103	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	236	102	81	34	34.3220339	https://www.efclinic.com	140.750275	40.798649	0.06057542	6.057542
医療法人佑望会　たんぽぽレディースクリニックあすと長町	宮城県仙台市太白区郡山1-16-8	宮城県	227387753	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	48	11	10	5	20.83333333	https://www.tanpopo-ladies.jp/	140.890335	38.226158	0.114891	11.4891
スズキ記念病院	宮城県岩沼市里の杜３丁目５－５	宮城県	223233111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	157	68	52	33	33.12101911	https://www.suzuki-hospital.jp	140.878571	38.10902	0.0736212	7.36212
医療法人翔仁会仙台ARTクリニック	宮城県仙台市宮城野区名掛丁206-13	宮城県	227918851	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	521	206	65	12	12.47600768	http://sendai-art-cl.jp	140.88559	38.262531	0.02837518	2.837518
東北大学病院	宮城県仙台市青葉区星陵町１－１	宮城県	227177000	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	33	14	9	28	27.27272727	https://www.hosp.tohoku.ac.jp/departments-3/d1301/doctor/#dp_menu	140.860947	38.272213	0.15195397	15.195397
京野アートクリニック仙台	宮城県仙台市青葉区本町1-1-1-3F	宮城県	227228841	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	536	261	221	41	41.23134328	https://ivf-kyono.jp/	140.88028	38.263287	0.04167353	4.167353
アートクリニック産婦人科	福島県福島市栄町6-1エスタビル１２階	福島県	245231132	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	122	46	31	25	25.40983607	http://art-clinic.byoinnavi.jp/pc/	140.461273	37.754051	0.07725345	7.725345
